Ms. 285,Chansons,Vers 1960,1950/1970,français|fre,papier,manuscrit,3 feuillets,dimensions diverses,Feuillets volants,"L’ensemble comprend deux chansons manuscrites par l’auteur : « Roubaix » (fol. 1) ; « Si j’min vas, j’n’arvins jamais pus » (fol. 2) et une enveloppe portant la mention suivante « confiée aux bons soins de Marcel Guillemyn, de la part de Robert Vandecrux » (fol. 3). ",Don de Marcel Guillemyn,,,"Charles Bodart-Timal|Bodart-Timal, Charles",,,,,,,,,
Ms. 286,La bière,XXe siècle,1901/2000,français|fre,papier,manuscrit,1 feuillet,270 x 175 mm,Feuillet volant,"Une chanson manuscrite accompagnée de la notation musicale. Paroles et musique de [illisible]. Sur le feuillet figure la mention suivante : « Schott frères, chants à l’usage de la troupe, éditeurs Bruxelles ». Cette mention semble indiquer que cette chanson provient de ce recueil.  ",Provenance inconnue,,,,,,,,,,,,
Ms. 287,Les grands oiseaux,XXe siècle,1901/2000,français|fre,papier,manuscrit,1 feuillet,245 x 345 mm,Feuillet volant,Une chanson manuscrite accompagnée de la notation musicale et d’un dessin en noir et blanc.,Provenance inconnue,,,"Henri Colas|Colas, Henri",,,,,,,,,
Ms. 288,Registre d’une société chantante roubaisienne,1890-1892,1890/1892,français|fre,papier,manuscrit,61 feuillets (29-61 blancs),360 x 230 mm,Reliure toile registre ,"Le registre comprend : la liste des membres et des renseignements divers (fol. 2v-6), des textes de chansons (fol. 7v-28v), des procès verbaux (fol. 61v). ",Provenance inconnue,,,,,,,,,,,,
Ms. 289,"Commune Sanctorum Juxta Breviarium Romanum, Ex Decrei Sacro-sancti Concilii Tridentini Restitutum",1738,1738,latin|lat ,papier$parchemin,manuscrit,148 feuillets,345 x 255 mm,"Reliure veau, coins métalliques, dos manquant, emboîtage doublé moderne, fermoirs métalliques présents","Probablement rédigé en 1738 en Flandres par Petrus-Joseph d’Ambre. La traduction du feuillet 1 donne ce qui suit : « Bréviaire romain commun des jours ordinaires, suivi des saints [des fêtes des saints], révisé selon le décret du sacro-saint Concile de Trente. Les hymnes et cantiques s’ajoutèrent à celui-ci, tous insérés au bon endroit [c’est à dire insérés à l’endroit où ils doivent être chantés durant l’office du jour], ainsi qu’un index important et dont le jour ordinaire est désigné par un numéro de page. Entièrement réalisé pour l’amour de Dieu et sous la protection de la remarquable Domina Anna-maria Chuffart, la très digne prieure à cette époque du couvent et de l’hôpital Sainte Élisabeth dans la ville de Roubaix. Petrus-Joseph d’Ambre, résidant en Flandres. 1738 ». ",Achat en 2003 auprès de la Librairie F. Giard. (3800 euros),http://www.bn-r.fr/fr/notice.php?id=Ms_289,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Petrus-Joseph d’Ambre|D’Ambre, Petrus-Joseph",,,,,,,,,
Ms. 290,Quinze siècles d’histoire roubaisienne (1469-1969),Vers 1972,1962/1982,français|fre,papier,manuscrit$dactylographie$imprimé,357 feuillets,320 x 260 mm ,Feuillets assemblés dans un classeur recouvert d’une toile registre rouge,"Chronologie historique de Roubaix reprenant les faits marquants de l’histoire de la ville classés par date sur une période de quinze siècles. Cette chronique historique détaillée semble avoir été réalisée à l’occasion de la commémoration du Cinquième Centenaire de la Charte des Drapiers. Contient une table des matières manuscrite (fol. 1-3v) suivie d’une compilation de récits d’auteurs différents accompagnée de nombreux imprimés, coupures de presse et illustrations couleurs en double page dont la reproduction peinture de Jean-Joseph Weerts : « Proclamation et remise de la Charte des Drapiers, 1e novembre 1469 » (fol. 35). ",Don de l’auteur,,,"Marcel Debruyne|Debruyne, Marcel",,,,,,,,,
Ms. 291,Recherches et controverses de Chrétiens sur le retour des Juifs et l’Apocalyptisme du 12e siècle au 19e siècle,1978-1979,1978/1979,français|fre,papier,dactylographie,Vol 1. 783 p. - 395 feuillets ; Vol 2. 706 p. - 362 feuillets ; Vol 3. 478 p. - 241 feuillets,305 x 210 mm,"Reliure toile bleue, étiquettes imprimées au dos et sur le plat supérieur","Travaux universitaires. Thèse de doctorat de Paul Catrice, prêtre du diocèse de Lille, Docteur en théologie. Étude de recherche historique et non doctrinale portant sur le développement, l’évolution et la diffusion parmi les Chrétiens de la thèse du « Retour spirituel des Juifs » ou « Rappel des juifs » du XIIe au XIXe siècle. L’étude s’accompagne d’informations sur les différents aspects des relations judéo-chrétiennes. Le premier volume (Ms. 291-1) comprend un sommaire général pour les trois tomes (fol. 4-4v), chaque volume comprend une bibliographie en fin d’ouvrage. ",Provenance inconnue,,,"Paul Catrice|Catrice, Paul",,,,,,,,,
Ms. 292,Correspondance échangée entre Maxence Van der Meersch et le chanoine Michel Spanneut,1942-1950,1942/1950,français|fre,papier,manuscrit,54 feuillets ,dimensions diverses,Feuillets volants,Lettres manuscrites accompagnées des enveloppes. Correspondance entretenue entre l’écrivain Maxence Van der Meersch et le chanoine Michel Spanneut pendant la Seconde Guerre mondiale. Comprend 38 lettres et billets manuscrits autographes échangés entre 1942 et 1950. Transparaît dans cette correspondance les circonstances de leur rencontre en 1942 et la nature de leur relation épistolaire. Le contenu de leurs échanges portent en premier lieu sur les préoccupations d’ordre matériel et alimentaires en temps de guerre (échanges de tickets de pain ou de produits contre divers matériaux tels que du tissu ou des pneus de vélos) progressivement remplacés par des échanges sur la littérature et des considérations d’ordre spirituel. ,Don de Michel Spanneut en mai 2007 à l’occasion du Centenaire de l’anniversaire de naissance de Maxence Van der Meersch,http://www.bn-r.fr/fr/notice.php?id=VDM_COR6_D01,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Maxence Van der Meersch|Van der Meersch, Maxence",,,,,,,,,
Ms. 293,Lettre de Simons à Thérèse Van der Meersch ,1951 ?,1951,français|fre,papier,manuscrit,1 feuillet,270 x 210 mm,Feuillet volant,"Lettre à en-tête manuscrite non datée de M. Léopold Simons adressée à Thérèse Van der Meersch après la mort de son époux Maxence Van der Meersch. Dans ce courrier, Simons prend des nouvelles de Thérèse et de la fille du couple, Sarah Van der Meersch. Il évoque les derniers dessins qu’il a exécutés en vue d’illustrer les roman de l’écrivain (l’Empreinte, Invasion 14). Comédien, il parle également de la pièce de théâtre pour laquelle il est alors en tournée. Il évoque par ailleurs l’adaptation au théâtre du roman « Corps et âme », émettant des réserves sur la mise en scène et l’interprétation de la pièce. La fin de sa lettre s’accompagne d’une invitation à venir les voir, lui et son épouse, dès que possible.",Achat (200 euros),,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Léopold Simons|Simons, Léopold",,,,,,,,,
Ms. 294,Cours pratique de déc[omposit]ion de grands façonnés.,1909-1910,1909/1910,français|fre,papier,manuscrit,33 feuillets,340 x 270 mm,Reliure piqûre,"Cours de tissage du professeur Ch. Virque recueilli par l’élève Charles Labriffe. Schémas en couleur et échantillons de tissus collés. Les 3 derniers feuillets (fol. 31-33) sont rédigés au  verso de papier à entête portant la mention : « Charles Labriffe. Dessins industriels. 100, rue de l’Amiral Courbet. Tourcoing (Nord) ». L’auteur du manuel de tissage fut enseignant à l’ENSAIT de Roubaix. ",Achat (75 euros),,,"Charles Virque|Virque, Charles$Charles Labriffe|Labriffe, Charles",,,,,,,,,
Ms. 295,Carnet d’échantillons,1901 ?,1891/1911,français|fre,papier,manuscrit,72 feuillets,370 x 245 mm,Reliure toile,"Registre commercial contenant des échantillons de tissus. Étiquette commerciale au revers de la reliure portant la mention suivante « Imprimerie &amp; registres, carnets d’échantillons. Fournitures de bureaux. Achille Sénécaut, rue fosse-aux-chênes, 57, Roubaix ». ",Provenance inconnue,,,,,,,,,,,,
Ms. 296,Renseignements concernant les grands panneaux,XXe siècle,1901/2000,français|fre,papier,manuscrit,"60 feuillets (33-60 blancs ; 8, 16 détachés)",500 x 330 mm,"Reliure toile registre noire à coutures apparentes au dos, étiquettes manuscrites au dos","Registre de renseignements sur les étapes de confection (colletage, montage, ordre des chaînes, ordre des trames) de grands panneaux tissés en vue de la réalisation de tapisseries d’ameublement (chaises, canapés fauteuils) et de tapisseries destinés à la décoration murale. Contient de nombreux échantillons de fils. Étiquette commerciale au verso de la page de couverture « Fabrique de registres. Imprimerie. Lithographie. Albert Craye. Angle des rues du Tilleul et de Bavai. Roubaix ».  ",Achat lors d’une vente aux enchères chez May &amp; Duhamel en 2009,,,,,,,,,,,,
Ms. 297,Atlas de géographie moderne,1862,1862,français|fre,papier,manuscrit$aquarelle,46 feuillets – 13 planches,500 x 320 mm (format à l’italienne),"Demi-reliure basane bleue, plat toile simili-cuir, filets dorés, titre à l’or au dos et sur le plat supérieur","Atlas de géographie manuscrit par Maria Tierce, élève du pensionnat d’Haubourdin. Contient 13 planches aquarellées représentant des cartes géographiques. Chaque planche, recouverte d’une feuille calque et suivie d’un feuillet de commentaire, porte la mention manuscrite suivante : « Carte tracée et écrite de mémoire par Maria Tierce. 1862 ». Contient : Pl. 1 France (fol. 3) ; Pl. 2 Département du Nord (fol. 6) ; Pl. 3 Belgique et Hollande ; Suède, Norvège, Islande, Danemark (fol. 8) ; Pl. 4 Europe centrale : Allemagne, Autriche, Prusse (fol. 13) ; Pl. 5 Suisse ; Espagne et Portugal (fol. 16) ; Pl. 6 Italie (fol. 20) ; Pl. 7 Turquie d’Europe et Grèce (fol. 22) ; Pl. 8 Les Iles britanniques : Angleterre, Écosse, Irlande, Pays de Galles (fol. 24) ; Pl. 9 Russie d’Europe (fol. 29) ; Pl. 10 Asie (fol. 32) ; Pl. 11 Afrique (fol. 36) ; Pl. 12 L’Amérique (fol. 40) ; Pl. 13 L’Océanie (fol. 44). ",Achat (5000 francs),,,"Maria Tierce|Tierce, Maria",,,,,,,,,
Ms. 298,Registre d’échantillons de tissus,1963-1964,1963/1964,français|fre,papier,manuscrit,60 feuillets,390 x 290 mm,"Reliure toile registre noire à coutures et clous apparents au dos, étiquettes manuscrites au dos","Registre commercial contenant des échantillons de tissus. Étiquette commerciale au revers de la reliure : « Imprimerie Jules Fiévet. 11 rue Pasteur, Flers - Sart ». Annotations manuscrites pour chaque échantillon de tissus reprenant le nom du fabricant textile, la quantité, le poids et la largeur. ","Achat Collection F. Bohée, 2009",,,,,,,,,,,,
Ms. 299,Cours de tissage. 2e année Textiles,1966-1968,1966/1968,français|fre,papier,manuscrit,67 feuillets,290 x 250 mm,Feuillets assemblés dans un classeur,"Cours sur le matériel de préparation de tissage et son utilisation. Contient les divers types de machines de métiers à tisser : la doubleuse, la moulineuse, la continu à retordre. Contient de nombreux échantillons de tissus et de fils collés ainsi que leur dénomination technique (fol. 11-18). Suivi des différentes opérations de tissage successives : Bobinage (fol. 21-22) ; Noeuds (fol. 22v-24) ; Ourdissage (fol. 24r-37) ; Encollage (fol. 37v-41) ; Rentrage, Broyages, Nouages (fol. 41v-55) ; Cannetage. (fol. 55v-57). Dessins et schémas explicatifs de machines à tisser. Exemples et exercices de calculs corrigés.     ",Provenance inconnue,,,,,,,,,,,,
Ms. 300,Cours de tissage,Début XXe siècle,1901/1925,français|fre,papier,manuscrit,91 feuillets (59-91 blancs),440 x 280 (format à l’italienne),"Reliure à tige métallique et coins métal, toile registre noire au dos",Cours sur les principes du tissage de l’Institut Turgot et de l’École nationale des Arts industriels de Roubaix. Semble avoir appartenu à l’élève Georges Candelier dont on retrouve le nom inscrit au crayon sur un schéma. Nombreux échantillons d’étoffes collés sur les feuillets côté recto. Schémas en noir et en couleur. Explications manuscrites placées en vis à vis des échantillons. ,Provenance inconnue,,,"Georges Candelier|Candelier, Georges",,,,,,,,,
Ms. 301,Cahier d’échantillons textile,XXe siècle,1901/2000,français|fre,papier,manuscrit,20 feuillets ,370 x 230 mm,"Cahier unique cousu, couverture encollée sur papier journal",Cahier grand format de modèles de tissages. Contient des échantillons de tissus et des patrons en papier,Provenance inconnue,,,,,,,,,,,,
Ms. 302,Livre de compte,1781,1781,français|fre,papier,manuscrit,289 feuillets,350 x 210 mm,Fine peau cuir couvrant une reliure cartonnée,"Contient des règles de calcul et d’arithmétique : adition [sic], soustraction, multiplication, division… et des exercices. La plupart des pages sont illustrées. De nombreux dessins, frises et arabesques ornent les pages du document. Sur le premier feuillet est mentionné : « Livre de compte fait par moi Jean-Baptiste Arnaud sous la conduite du Sieur Jacques Gautier maître de pension au quartier des Aygalades commence avec l’aide de Dieu le premier mars l’année 1781 et fini par la grâce de Dieu le 31 mai 1782 ». Le quartier des Aygalades est un quartier de Marseille. La provenance semble confirmer par des tampons apposés sur certaines pages mentionnant Marseille, la date de 1938 ainsi qu’une signature illisible.",Achat au Salon du livre de Lille en 2008 (1000 euros),http://www.bn-r.fr/fr/notice.php?id=Ms_302,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,"Jean-Baptiste Arnaud|Arnaud, Jean-Baptiste$Jacques Gautier|Gautier, Jacques",,,,,,,,,
Ms. 303,Cours des filés. 1ère année,1950-1960,1950/1960,français|fre,papier,manuscrit,33 feuillets,330 x 260 mm,"Cahier unique cousu, couverture papier",Cahier de l’élève Alphonse Hardy,"Achat Collection F. Bohée, 2010, Wattrelos.",,,"Alphonse Hardy|Hardy, Alphonse",,,,,,,,,
Ms. 304,Coupe et assemblage de vêtements ,1920-1921,1920/1921,français|fre,papier,manuscrit,40 feuillets,300 x 230 mm,"Cahier unique cousu, couverture toile noire",Cahier de 1ère année de l’élève Henriette Vandoorsselaere au collège de jeunes filles à Roubaix. Contient une pochette de modèles. ,Achat au Salon du livre de Wasquehal en 2010 (150 euros),,,"Henriette Vandoorsselaere|Vandoorsselaere, Henriette",,,,,,,,,
Ms. 305,"Leçons d’orthographe, d’arithmétique et d’écriture",1868,1868,français|fre,papier,manuscrit,113 feuillets,440 x 300 mm (format à l’italienne),Reliure percaline,Leçons manuscrites par des enfants âgés de 12 et 13 ans en juin et juillet 1868. Contient également des cartes géographiques exécutées par les enfants. Sur chaque feuillet figure les mentions : « Canton d’Épinal – Commune d’Épinal ». Sur la couverture figure : « Épinal – École communale – Chapellier ». ,Achat au Salon du livre ancien de Wasquehal en 2007 (350 euros),http://www.bn-r.fr/fr/notice.php?id=Ms_305,Ce manuscrit a été intégralement numérisé. Il est consultable dans la bibliothèque numérique de la Ville de Roubaix,,École communale d’Épinal,,,,,,,,
Ms. 306,Cours de tissage professé par M. Arthur Noiret. 1ère année,1950-1970,1950-1970,français|fre,papier,manuscrit,62 feuillets,310 x 210 mm,Reliure toile,"Cahier de l’élève Paul Wasier. Cours de tissage professé par Arthur Noiret. Sur l’étiquette présente sur la couverture, figurent les mentions suivantes : « Société industrielle de Saint-Quentin et de l’Aisne – Cours de tissage de Bohain »",Achat au Salon du livre en 2012 auprès de la Librairie Continent mystérieux (150 euros),,,"Paul Wassier|Wassier, Paul$Arthur Noiret|Noiret, Arthur",,,,,,,,,
Ms. 307,École Supérieure de coupe et de couture de Liège,Fin XIXe siècle-début XXe siècle,1875/1925,français|fre,papier,manuscrit,35 feuillets,545 x 350 mm,"Porte-folio toile simili-cuir à coins noirs et rouges, contenant trois cahiers cousus",Album de couture de l’École Supérieure de coupe et de couture de Liège appartenant à Angèle Dotreppe Forêt-Trooz sous la direction de Melle Marie Kairis Prayon-Trooz. Contient les patrons et les collages des modèles de confections pour enfants (fol. 1v-9) et pour dames (fol. 9v-33). ,"Achat au Salon du livre de Lille le 4 novembre 2015 auprès de la Librairie Rita de Maere, Namur (380 euros)",,,"Angèle Dotreppe Forêt-Trooz|Dotreppe Forêt-Trooz, Angèle$Marie Kairis Prayon-Trooz|Kairis Prayon-Trooz Marie",,,,,,,,,
Ms. 308,Le flocage,XXe siècle,1901/2000,français|fre,papier,manuscrit,21 feuillets,430 x 320 mm,"Cahier unique cousu, couverture papier","Cahier de l’élève Nathalie Boyaval, manuscrit blanc sur papier noir accompagné de nombreux exemples d’échantillons de tissus floqués. Au folio 2, on lit le sommaire : I. Historique du flocage. II. Les techniques du flocage. III. Les différents secteurs d’utilisation.  ",Provenance inconnue,,,"Nathalie Boyaval|Boyaval, Nathalie",,,,,,,,,
Ms. 309,Quatorze dix-huit,1952-1953,1952/1953,français|fre,papier,dactylographie,135 feuillets (pagination de l’auteur : 220 p.),275 x 210 mm,"Emboîtage papier, titre au dos et sur le plat supérieur","Manuscrit dactylographié avec une dédicace autographe signée de Marcel Brochard à son ami Raffaut, datée du 24 mars 1955 (fol. 2v). Marcel Brochard retranscrit le récit quotidien des évènements vécus par son père, Adrien Brochard, lors de la Première guerre mondiale. Le journal commence le 1er août 1914 et se termine le 14 juillet 1919. Le récit est complété en vis à vis par des extraits de correspondances échangés entre Marcel Brochard et ses proches, familles et amis, suivis d’extraits de ses propres carnets de notes du front. Contient : Table des matières (fol. 4) ; Journal d’Adrien Brochard 1914-1919 (fol. 7-8, verso des folios 8 à 89) ; Lettres – Notes de son fils Marcel 1914-1918  (recto des folios 9 à 89) ; Récits annexes de Marcel 1914-1917 (fol. 90-127). Illustrés de nombreuses cartes (fol. 16, 36, 56, 60, 99, 107, 116), dessins (fol. 20, 96) et de 9 planches de photographies noirs et blancs (fol. 42, 68, 74, 83, 112, 121, 124, 126, 132).",Don de Florence Danel en 2012,,,"Adrien Brochard|Brochard, Adrien$Marcel Brochard|Brochard, Marcel",,,,,,,,,
Ms. 310,Théorie de tissage. 1ère année,XIXe siècle,1801/1900,français|fre,papier,manuscrit,22 feuillets (18-22 blancs),315 x 245 mm,"Cahier unique cousu, couverture papier, étiquette manuscrite sur le plat supérieur","Cours du professeur Théodore Bon recueilli par l’élève Henri Gons. Sur le premier feuillet est mentionné : « École industrielle de Tourcoing sous le patronage de la chambre de commerce. Cours de théorie de tissage, division de 1ere année, professé par Théodore Bon. Élève Henri Gons ». Contient de nombreux schémas.",Provenance inconnue,,,"Théodore Bon|Bon, Théodore$Henri Gons|Gons, Henri",,,,,,,,,
Ms. 311,Théorie de tissage. 1ère année,XIXe siècle,1801/1900,français|fre,papier,manuscrit,23 feuillets (1-2 blancs),315 x 245 mm,"Cahier unique cousu, couverture papier, étiquette manuscrite sur le plat supérieur",Cours du professeur Théodore Bon recueilli par l’élève Henri Gons à l’École industrielle de Tourcoing. Contient de nombreux schémas. Ce cahier fait suite au précédent manuscrit (Ms. 310). Le chiffre 2 est inscrit au dos de la couverture.,Provenance inconnue,,,"Théodore Bon|Bon, Théodore$Henri Gons|Gons, Henri",,,,,,,,,
Ms. 312,Cahier de tissage. Les mécaniques. Les façonnés. 2ème année,XIXe siècle,1801/1900,français|fre,papier,manuscrit,17 feuillets,340 x 255 mm,"Reliure piqûre, inscription manuscrite","Cours du professeur Thomas recueilli par l’élève Alfred Février. Étude portant sur la nomenclature, le mode de fonctionnement, les réglages et les avantages de divers de métiers à tisser mécaniques (fol. 2v-10) ; suivi de : Étude de l’empoutage (fol. 12-17). Nombreux schémas en couleurs. Fait partie d’un ensemble de cinq cahiers de cours comprenant les manuscrits 313, 314, 315 et 316. Le chiffre 1 est inscrit sur la page de couverture.",Provenance inconnue,,,"Alfred Février|Février, Alfred",,,,,,,,,
Ms. 313,Cahier de tissage. Façonnés. Mécaniques. 2ème année,XIXe siècle,1801/1900,français|fre,papier,manuscrit,18 feuillets,340 x 255 mm,"Reliure piqûre, inscription manuscrite","Cours du professeur Thomas recueilli par l’élève Alfred Février. Contient : Étude des mécaniques de tire : introduction théorique (fol. 2-3) ; étude portant sur la nomenclature, le mode de fonctionnement, les réglages, les avantages, les défauts et le mode d’entretien de métiers à tisser mécaniques (fol. 4-18). Nombreux schémas en couleurs représentant les systèmes de mécaniques. Fait partie d’un ensemble de cinq cahiers de cours comprenant les manuscrits 312, 314, 315 et 316. Le chiffre 2 est inscrit sur la page de couverture.",Provenance inconnue,,,"Alfred Février|Février, Alfred",,,,,,,,,
Ms. 314,Cours de tissage. Lisage. Piquage,XIXe siècle,1801/1900,français|fre,papier,manuscrit,15 feuillets (5 feuillets supprimés avant le feuillet 14),340 x 255 mm,"Reliure piqûre, inscription manuscrite","Cours du professeur Thomas recueilli par l’élève Alfred Février. Contient : Étude du Lisage (fol. 1-5) ; Perçage ou Piquage (fol. 6-15). Nombreux schémas en couleurs. Fait partie d’un ensemble de cinq cahiers de cours comprenant les manuscrits 312, 313, 315 et 316. Le chiffre 3 est inscrit sur la page de couverture.",Provenance inconnue,,,"Alfred Février|Février, Alfred",,,,,,,,,
Ms. 315,Cours de tissage. Mise en carte,XIXe siècle,1801/1900,français|fre,papier,manuscrit,13 feuillets (12-13 feuillets détachés ; 5 feuillets supprimés en fin de cahier),340 x 255 mm,"Reliure piqûre, inscription manuscrite","Cours du professeur Thomas recueilli par l’élève Alfred Février. Contient de nombreux schémas. Fait partie d’un ensemble de cinq cahiers de cours comprenant les manuscrits 312, 313, 314 et 316 . Le chiffre 4 est inscrit sur la page de couverture.",Provenance inconnue,,,"Alfred Février|Février, Alfred",,,,,,,,,
Ms. 316,Cours de tissage. Tissus complexes. Navetages. Tissus éponges. Velours par trame. Velours par chaîne,XIXe siècle,1801/1900,français|fre,papier,manuscrit,20 feuillets,340 x 255 mm,"Reliure piqûre, inscription manuscrite","Cours du professeur Thomas recueilli par l’élève Alfred Février. Contient : Les navetages (fol. 1-8) ; Étude des tissus complexes : tissus éponges, velours par trames, velours par chaîne (fol. 9-20). Nombreux schémas en couleurs. Fait partie d’un ensemble de cinq cahiers de cours comprenant les manuscrits 312, 313, 314 et 315. Le chiffre 5 est inscrit sur la page de couverture.",Provenance inconnue,,,"Alfred Février|Février, Alfred",,,,,,,,,
Ms. 317,Cahier de fabrication. 1ère année,XIXe siècle,1801/1900,français|fre,papier,manuscrit,17 feuillets (16-17 blancs ; 1 feuillet supprimé en fin de cahier),368 x 255 mm,"Reliure piqûre, inscription manuscrite",Cours de fabrication recueilli par l’élève Gabriel Delattre. Nombreux schémas en couleur. Fait partie d’un ensemble de trois cahiers de cours comprenant les manuscrits 318 et 319.,Provenance inconnue,,,"Gabriel Delattre|Delattre, Gabriel",,,,,,,,,
Ms. 318,Cours de tissage. Liages,XIXe siècle,1801/1900,français|fre,papier,manuscrit,20 feuillets,368 x 255 mm,"Reliure piqûre, inscription manuscrite",Cours de fabrication recueilli par l’élève Gabriel Delattre. Contient des échantillons de tissus et de nombreux schémas en couleur. Fait partie d’un ensemble de trois cahiers de cours comprenant les manuscrits 317 et 319.,Provenance inconnue,,,"Gabriel Delattre|Delattre, Gabriel",,,,,,,,,
Ms. 319,Cours de tissage. Liages,XIXe siècle,1801/1900,français|fre,papier,manuscrit,20 feuillets (18-20 blancs),368 x 255 mm,"Reliure piqûre, inscription manuscrite","Cours de fabrication recueilli par l’élève Gabriel Delattre. Nombreux schémas en couleur. Contient des chutes de patrons de tissage aux fol. 6, 11 et en fin de cahier. Fait partie d’un ensemble de trois cahiers de cours comprenant les manuscrits 317 et 318. ",Provenance inconnue,,,"Gabriel Delattre|Delattre, Gabriel",,,,,,,,,
Ms. 320,Cours de tissage. Fabrication,XIXe siècle,1801/1900,français|fre,papier,manuscrit,20 feuillets (pagination de l’auteur : 39 p.),355 x 270 mm,Cahier unique cousu,Cours recueilli par l’élève Félix Vergauwen sur le mode de fabrication des diverses catégories d’étoffes. Contient des schémas en couleur et de nombreux échantillons de tissus. Fait partie d’un ensemble de trois cahiers de cours comprenant les manuscrits 321 et 322.,Achat Collection F. Bohée,,,"Félix Vergauwen|Vergauwen, Félix",,,,,,,,,
Ms. 321,Cours de tissage. Nattés,XIXe siècle,1801/1900,français|fre,papier,manuscrit,24 feuillets (pagination de l’auteur interrompue avant la fin du cahier : 40 à 66 p.),355 x 270 mm,Cahier unique cousu,Cours recueilli par l’élève Félix Vergauwen sur le mode de fabrication des diverses catégories d’étoffes. Contient des schémas en couleur et de nombreux échantillons de tissus. Cahier faisant suite au manuscrit 321 selon la pagination de l’auteur. Fait partie d’un ensemble de trois cahiers de cours comprenant les manuscrits 320 et 322. ,Achat Collection F. Bohée,,,"Félix Vergauwen|Vergauwen, Félix",,,,,,,,,
Ms. 322,Cours de tissage. Diagonales,XIXe siècle,1801/1900,français|fre,papier,manuscrit,17 feuillets (15-17 blancs),355 x 270 mm,Cahier unique cousu,Cours recueilli par l’élève Félix Vergauwen sur le mode de fabrication des diverses catégories d’étoffes. Contient des schémas en couleur et de nombreux échantillons de tissus. Fait partie d’un ensemble de trois cahiers de cours comprenant les manuscrits 320 et 321.,Achat Collection F. Bohée,,,"Félix Vergauwen|Vergauwen, Félix",,,,,,,,,
Ms. 323,Cours de coupe et de couture de l’École Supérieure de Liège,1932,1932,français|fre,papier,manuscrit,29 feuillets (23-29 blancs),360 x 260 mm,Demi-reliure toile simili-cuir noir,Album de couture de l’École Supérieure de coupe et de couture de Liège. Semble avoir appartenu à l’élève Gisette Toussaint. Contient : Table des matières (fol. 2v) ; nombreux dessins de patrons et imprimés collés représentant des modèles de confections pour femmes. Des feuilles de papier de soie sont intercalés entre chaque feuillet excepté au folio 21. Nombreuses illustrations dessinées.,Achat au Salon du livre de Lille en 2012 auprès de la Librairie Intermède (200 euros),,,"Gisette Toussaint|Toussaint, Gisette",École Supérieure de coupe et de couture de Liège,,,,,,,,
Ms. 324,Cours de coupe et de couture de l’École Supérieure de Liège,1932,1932,français|fre,papier,manuscrit,"30 feuillets (13-15, 24-29 blancs)",360 x 260 mm,"Demi-reliure toile simili-cuir noir, étiquette manuscrite","Album de couture de l’École Supérieure de coupe et de couture de Liège. Une étiquette sur la couverture de l’album mentionne le nom de l’élève Toussaint Gisette, la suite de l’inscription est illisible. Contient : Table des matières (fol. 2v) ; nombreux dessins de patrons et imprimés collés représentant des modèles de confections pour enfants. Des feuilles de papier de soie sont intercalés entre chaque feuillet excepté aux folios 13 et 19 à 21. Nombreuses illustrations dessinées.",Achat au Salon du livre de Lille en 2012 auprès de la Librairie Intermède (200 euros),,,"Gisette Toussaint|Toussaint, Gisette",École Supérieure de coupe et de couture de Liège,,,,,,,,
Ms. 325,Ordonnance concernant la sûreté publique - août 1917 à octobre 1917,1917,1917,français|fre,papier,dactylographie$manuscrit,175 feuillets,300 x 240 mm,Feuillets reliés par des attaches parisiennes maintenus dans une chemise papier,"Registre consignant les avis, les arrêtés et les décrets promulgués à Roubaix et affichés sur les murs de de la ville sous l’occupation allemande pendant la Première Guerre mondiale. Rédigé et signé par la Kommandantur allemande, le registre démarre le 29 août 1917 au numéro d’inventaire 343 et s’achève le 12 octobre 1917 au numéro d’inventaire 438. Ces ordonnances, que la population roubaisienne a pu lire lors de leurs affichages publics, émanaient successivement de l’administration municipale et des autorités allemandes. Elles évoquent par leur contenu l'occupation de Roubaix et du Nord sous l'angle de la vie politique, économique et de la vie quotidienne. Elles donnent une idée de la dureté de l’occupation allemande tout au long de cette période : réquisitions, privations, punitions, contrôles d'identité, travaux forcés, rationnement alimentaire, convocations à des revues d’appel, etc. Chaque ordonnance rappelle les peines et les amendes encourues en cas de non respect de ces prescriptions. Ce registre précisément démarre par une liste de condamnations. Pour chaque infraction commise, la liste détaille les noms, prénoms et lieu de résidence des condamnés ainsi que la durée de la peine de prison. Fait partie d’un ensemble de trois registres comprenant les manuscrits 326 et 327.",Don de Marcel Guillemyn,,,,,,,,,,,,
